source,target
CBX8,RBBP7
DCTN4,ARCN1
DCTN4,PAFAH1B1
DCTN4,GOLGA2
MAVS,PCBP2
MAVS,ITCH
EEA1,RAB5B
PRKAR1A,PRKACB
ABCA1,PRKACB
EIF2S1,EIF4G2
EIF2S1,EIF2B2
EIF2S1,EIF4A2
EIF2S1,RPL17
MRPS10,RPL17
RIF1,HIST1H2BJ
ANAPC5,KLHL20
ANAPC5,PSMD11
ANAPC5,UBE2L3
ANAPC5,ITCH
CAV1,CAV2
CAV1,WASL
CAV1,CAVIN1
B2M,IRF1
BAG2,HSPA8
MYO9B,WASL
MYO9B,ARPC2
FAM3C,PDGFB
FAM3C,VEGFA
SNAPIN,TGOLN2
SNAPIN,SNX9
FOXK1,YY1
UBE2M,UBE2L3
UBE2M,UBE2O
UBE2M,ITCH
RPRD2,TAF6
RPRD2,TAF8
IRF1,NR3C1
IRF1,TRIM8
IRF1,KAT2B
CSNK1A1,PSMD11
CFL2,LIMK1
GRPEL2,HSPA8
GRPEL2,LDHD
GRPEL2,TIMM17A
GABBR1,GNB5
GABBR1,LPAR2
ARCN1,GOLGA2
LIMK1,PAK6
LIMK1,SSH2
LIMK1,PLXNA1
HSPA8,M6PR
HSPA8,PAPOLA
HSPA8,WASL
HSPA8,GNS
HSPA8,SNX9
HSPA8,AP1G1
HSPA8,DNAJB9
HSPA8,DDX46
HSPA8,ELAVL1
HSPA8,NUP35
HSPA8,RAB5B
HSPA8,DNAJB6
HSPA8,TGOLN2
HSPA8,ARPC2
HSPA8,AP2A2
HSPA8,PCBP2
HSPA8,DNAJC10
HSPA8,HIP1
HSPA8,HNRNPM
UBE2O,KLHL20
UBE2O,UNKL
UBE2O,TRIM32
UBE2O,UBE2L3
UBE2O,ITCH
JAK1,UGCG
STX16,M6PR
STX16,TGOLN2
DVL3,PSMD11
DVL3,TCF7L2
M6PR,AP1G1
M6PR,WASL
M6PR,RAB5B
M6PR,TGOLN2
M6PR,GNS
M6PR,ARPC2
M6PR,SNX9
M6PR,FNBP1L
UNKL,KLHL20
RPS6KA4,AP2A2
NR3C1,PRKACB
NR3C1,KAT2B
EIF4G2,EIF4A2
USP16,USP21
CCP110,HAUS8
CCP110,PAFAH1B1
YY1,HIST1H2BJ
YY1,RBBP7
YY1,KAT2B
TCF7L2,SOX4
HNRNPM,PAPOLA
HNRNPM,PCBP2
HNRNPM,DDX46
HNRNPM,ELAVL1
REV3L,REV1
TGOLN2,WASL
TGOLN2,RAB5B
TGOLN2,SNX9
TGOLN2,AP1G1
PCBP2,PAPOLA
PCBP2,DDX46
PCBP2,ELAVL1
PCBP2,ITCH
EIF4A2,RPL17
REST,HIST1H2BJ
PRKACB,NCAPD2
SPCS1,RPL17
ASB1,KLHL20
ASB1,ITCH
ASB1,UBE2L3
HIP1,WASL
HIP1,ARPC2
HIP1,RAB5B
HIP1,AP2A2
HIP1,SNX9
CENPQ,RBBP7
GNS,AP1G1
WASL,SNX9
WASL,RAB5B
WASL,ARPC2
WASL,FNBP1L
